Waterbody OGF ID,Zone Number,Species,Species French,Season,Season French,Limit,Limit French,Size Limit Only,Size Limit Only French,Waterbody Description,Waterbody Description French,Effective Date,Expiry Date
125207767,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Chub Lake (48°16'54""N., 89°34'22""W.) - Scoble Township","Lac Chub (48° 16' 54""N., 89° 34' 22""O.) - canton de Scoble",01/01/2022,12/31/2022
125207767,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Chub Lake (48°16'54""N., 89°34'22""W.) - Scoble Township","Lac Chub (48° 16' 54""N., 89° 34' 22""O.) - canton de Scoble",01/01/2022,12/31/2022
125207769,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Deer Lake (49°03'36""N., 88°20'23""W.) - Booth Township","Lac Deer (49° 03' 36""N., 88° 20' 23""O.) - canton de Booth",01/01/2022,12/31/2022
125207769,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Deer Lake (49°03'36""N., 88°20'23""W.) - Booth Township","Lac Deer (49° 03' 36""N., 88° 20' 23""O.) - canton de Booth",01/01/2022,12/31/2022
125207770,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Devon Lake (48°09'18""N., 89°50'45""W.) - Devon Township","Lac Devon (48° 09' 18""N., 89° 50' 45""O.) - canton de Devon",01/01/2022,12/31/2022
125207770,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Devon Lake (48°09'18""N., 89°50'45""W.) - Devon Township","Lac Devon (48° 09' 18""N., 89° 50' 45""O.) - canton de Devon",01/01/2022,12/31/2022
125207771,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Devonline Lake (48°09'33""N., 89°50'58""W.) - Fraleigh Township","Lac Devonline (48° 09' 33""N., 89° 50' 58""O.) - canton de Fraleigh",01/01/2022,12/31/2022
125207771,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Devonline Lake (48°09'33""N., 89°50'58""W.) - Fraleigh Township","Lac Devonline (48° 09' 33""N., 89° 50' 58""O.) - canton de Fraleigh",01/01/2022,12/31/2022
125207772,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Downy Lake (48°14'23""N., 89°52'10""W.) - Lybster Township","Lac Downy (48° 14' 23""N., 89° 52' 10""O.) - canton de Lybster",01/01/2022,12/31/2022
125207772,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Downy Lake (48°14'23""N., 89°52'10""W.) - Lybster Township","Lac Downy (48° 14' 23""N., 89° 52' 10""O.) - canton de Lybster",01/01/2022,12/31/2022
125207773,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Driftstone Lake (48°57'30""N., 88°30'11""W.) - Hele Township","Lac Driftstone (48° 57' 30""N., 88° 30' 11""O.) - canton de Hele",01/01/2022,12/31/2022
125207773,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Driftstone Lake (48°57'30""N., 88°30'11""W.) - Hele Township","Lac Driftstone (48° 57' 30""N., 88° 30' 11""O.) - canton de Hele",01/01/2022,12/31/2022
125207774,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Duchess Lake (Dutchies Lake) (48°52'26""N., 88°34'18""W.) - Stirling Township","Lac Duchess (Dutchies Lake) (48° 52' 26""N., 88° 34' 18""O.) - canton de Stirling",01/01/2022,12/31/2022
