Waterbody OGF ID,Waterbody Location Identifier,Official Name,Official French Name,Unofficial Name,Latitude,Longitude,Effective Date,Expiry Date
125209687,17-5145-51708,Drill Lake,lac Drill,,46.69228,-80.81035,01/01/2022,12/31/2022
125209687,17-5145-52182,Little Laundrie Lake,petit lac Laundrie,,47.11951,-80.80925,01/01/2022,12/31/2022
125209687,17-5148-51859,Goat Lake,lac Goat,,46.8252543,-80.805254,01/01/2022,12/31/2022
125209687,17-5148-52358,Upper Stull Lake,lac Upper Stull,,47.2790296,-80.8029738,01/01/2022,12/31/2022
125209687,17-5149-51682,Moose Lake,lac Moose,,46.66951,-80.80536,01/01/2022,12/31/2022
125209687,17-5149-52572,Rent Lake,lac Rent,,47.470465,-80.802226,01/01/2022,12/31/2022
125209687,17-5150-52679,Hangingstone Lake,lac Hangingstone,,47.5727527,-80.8069608,01/01/2022,12/31/2022
125209687,17-5150-52716,Great South Bay,grande baie South,,47.59114,-80.79786,01/01/2022,12/31/2022
125209687,17-5150-52735,Gordon Bay,baie Gordon,,47.62296,-80.79343,01/01/2022,12/31/2022
125209687,17-5141-52221,Marsh Lake,lac Marsh,,47.15395,-80.81397,01/01/2022,12/31/2022
125209687,17-5378-51739,Ford Lake,lac Ford,,46.7198344,-80.5048395,01/01/2022,12/31/2022
125209687,17-5390-51794,Lulu Lake,lac Lulu,,46.76895,-80.48924,01/01/2022,12/31/2022
125209687,17-5363-51945,Hicks Lake,lac Hicks,,46.90534,-80.52285,01/01/2022,12/31/2022
125209687,17-5365-52783,Phelps Lake,lac Phelps,,47.659916,-80.5139696,01/01/2022,12/31/2022
125209687,17-5368-51921,Carlo Lake,lac Carlo,,46.89468,-80.52403,01/01/2022,12/31/2022
125209687,17-5368-52000,Hammend Lake,lac Hammend,,46.9539107,-80.5162374,01/01/2022,12/31/2022
125209687,17-5368-52742,,,Roadhouse Lake 19 (Unofficial Name),47.6221976,-80.5100359,01/01/2022,12/31/2022
125209687,17-5369-51884,Karl Lake,lac Karl,,46.8486368,-80.5071925,01/01/2022,12/31/2022
125209687,17-5370-51830,Donald Lake,lac Donald,,46.7982892,-80.5102827,01/01/2022,12/31/2022
125209687,17-5373-51869,Gold Lake,lac Gold,,46.83644,-80.51091,01/01/2022,12/31/2022
125209687,17-5361-51705,Paddy's Lake,lac de Paddy,,46.68867,-80.5273,01/01/2022,12/31/2022
125209687,17-5378-51705,Spider Lake,lac Spider,,46.68894,-80.5059,01/01/2022,12/31/2022
