Fish Sanctuary OGF ID,Latitude,Longitude,Effective Date,Expiry Date
107035710,47.9810188,-82.3490443,01/01/2022,12/31/2022
107035711,48.1103487,-82.3176394,01/01/2022,12/31/2022
107035712,48.1901796,-80.2206453,01/01/2022,12/31/2022
107035713,49.7459019,-80.5917487,01/01/2022,12/31/2022
107035714,48.1007717,-81.9290185,01/01/2022,12/31/2022
107035715,48.2958154,-80.6749019,01/01/2022,12/31/2022
107035716,48.091229,-79.6390357,01/01/2022,12/31/2022
107035717,49.7501774,-80.583423,01/01/2022,12/31/2022
107035718,49.9995035,-80.7858806,01/01/2022,12/31/2022
107035719,49.4515781,-80.5931868,01/01/2022,12/31/2022
107035720,49.4831408,-80.6489856,01/01/2022,12/31/2022
107035721,49.5586772,-80.7650973,01/01/2022,12/31/2022
107035722,49.8130285,-80.5632995,01/01/2022,12/31/2022
107035723,49.8474074,-80.6156608,01/01/2022,12/31/2022
107035724,49.4616994,-80.1478613,01/01/2022,12/31/2022
107035725,49.9741176,-80.5951017,01/01/2022,12/31/2022
107035726,48.0261422,-81.551985,01/01/2022,12/31/2022
107035727,48.8401068,-81.4989255,01/01/2022,12/31/2022
107035728,48.5086023,-81.4619573,01/01/2022,12/31/2022
107035729,50.1332132,-80.7000792,01/01/2022,12/31/2022
107035730,48.2389643,-80.7243653,01/01/2022,12/31/2022
107035731,49.4895096,-80.1278697,01/01/2022,12/31/2022
107035732,47.6766987,-81.9021884,01/01/2022,12/31/2022
107035733,47.6376878,-81.2305988,01/01/2022,12/31/2022
107035734,49.5194441,-80.1683921,01/01/2022,12/31/2022
107035735,47.689387,-81.7515101,01/01/2022,12/31/2022
107035736,47.5823627,-81.7230186,01/01/2022,12/31/2022
107035737,47.7440188,-81.5637426,01/01/2022,12/31/2022
107035738,47.5461094,-81.6892718,01/01/2022,12/31/2022
107035739,49.0089159,-83.0884982,01/01/2022,12/31/2022
107035740,49.6847597,-80.5531257,01/01/2022,12/31/2022
107035741,50.0040094,-80.6260091,01/01/2022,12/31/2022
107035742,47.5917102,-81.4987534,01/01/2022,12/31/2022
107035743,47.5333799,-81.3903644,01/01/2022,12/31/2022
107035744,47.7917294,-81.3782997,01/01/2022,12/31/2022
107035745,47.8195832,-83.3916875,01/01/2022,12/31/2022
107035746,50.2065171,-80.5400516,01/01/2022,12/31/2022
107035747,49.8739812,-80.6069905,01/01/2022,12/31/2022
107035748,49.7531736,-80.6293182,01/01/2022,12/31/2022
107035749,49.8079737,-80.664871,01/01/2022,12/31/2022
107035750,49.5036054,-82.8900498,01/01/2022,12/31/2022
107035751,48.236655,-81.8446963,01/01/2022,12/31/2022
107035752,48.2751522,-80.651513,01/01/2022,12/31/2022
107035753,50.3995406,-80.3140823,01/01/2022,12/31/2022
107035754,49.4126348,-79.977418,01/01/2022,12/31/2022
107035755,50.2441303,-80.4118999,01/01/2022,12/31/2022
107035756,48.4756457,-81.1973765,01/01/2022,12/31/2022
107035757,50.142345,-80.6792141,01/01/2022,12/31/2022
107035758,50.0919069,-80.6129855,01/01/2022,12/31/2022
107035759,49.7430334,-80.7129431,01/01/2022,12/31/2022
107035760,49.4064458,-80.1095436,01/01/2022,12/31/2022
107035761,49.8230958,-80.6032806,01/01/2022,12/31/2022
107035762,50.2887069,-80.3743613,01/01/2022,12/31/2022
107035763,50.0790153,-80.6405781,01/01/2022,12/31/2022
107035764,49.5819239,-80.8394266,01/01/2022,12/31/2022
107035765,49.8495138,-80.6966132,01/01/2022,12/31/2022
107035766,49.9151589,-80.6946749,01/01/2022,12/31/2022
107035767,48.5472228,-81.6291027,01/01/2022,12/31/2022
107035768,49.4133463,-80.1982047,01/01/2022,12/31/2022
107035769,49.785298,-80.6517953,01/01/2022,12/31/2022
107035770,49.822764,-80.5540987,01/01/2022,12/31/2022
107035771,48.8969031,-82.4748628,01/01/2022,12/31/2022
